Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Sudan,SSD,..,..,2.6,3,3.5,4.1,4.8,6.7,9.27123,9.64241,12.1407,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Spain,ESP,0.012873564,13.625,76.1867,78.6896,80.5613,84.6022,86.1072,90.7187,93.2056,93.8975,94.4855,95.4456
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sri Lanka,LKA,0,0.64741,10.5,15.26,22.19,25.1,28.3,32,36.1847,44.4531,50.1067,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Kitts and Nevis,KNA,0,5.86281,65.4,66.2,67,67.8,68.6,69.4,70.2753,69.1294,76.4575,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Lucia,LCA,0,5.09048,53.2,57.3,61.7,66.4,69.4,72.5,75.8162,75.122,74.1859,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,St. Vincent and the Grenadines,VCT,0,3.24504,47.4,49.4,51.5,53.7,56,73.9683,77.4269,78.7228,77.7418,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sudan,SDN,0,0.025785,..,..,14.1,18.6,24.6,25.9,26.4383,27.6336,28.7045,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Suriname,SUR,0,2.50641,40.08,42.7638,45.4,48.9452,55.1,62,69.8369,71.992,75.7614,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sweden,SWE,0.584192066,45.6877,92.5236,90.6102,89.6509,93.0063,89.247,94.4934,94.5394,94.6703,95.0097,95.7033
Individuals using the Internet (% of population),IT.NET.USER.ZS,Switzerland,CHE,0.595714223,47.1,83.6173,87.4791,89.1347,89.6861,91.8,93.1461,94.3499,95.5694,96.8046,97.3444
Individuals using the Internet (% of population),IT.NET.USER.ZS,Syrian Arab Republic,SYR,0,0.181699,28.09,29.9798,31.8696,32.7,33.77,34.65,35.78,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tajikistan,TJK,0,0.0485996,17.49,18.98,20.47,21.96,..,..,27.5441,28.34,36.0872,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tanzania,TZA,0,0.117194,7,10,13.5042,16,17.1,18.2773,25.6424,29.7016,31.8913,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Thailand,THA,0,3.68904,34.8861,39.3161,47.505,52.8919,56.8175,66.6524,77.8437,85.2696,87.9772,89.5352
Individuals using the Internet (% of population),IT.NET.USER.ZS,Timor-Leste,TLS,0,..,17.5,18.6,21.2,24.2,27.6,28.0046,32.0127,35.5407,40.7521,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Togo,TGO,0,0.8,5.7,7.12,11.31,12.3602,15.5,20.7273,29.0237,32.5051,37.6212,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tonga,TON,0,2.4344,35.9544,38.6513,39.95,46.2,53.4,61.78962999,66.64843101,57.5486,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Trinidad and Tobago,TTO,0,7.72141,62.4,65.1,67.8,70.6,72.8,75,77.2813,79,79.9843,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tunisia,TUN,0,2.75074,46.16,46.5,49.6,55.5002,64.1908,66.7,68.5564,68.3155,73.8379,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turkiye,TUR,0,3.76169,51.0374,53.745,58.3477,64.6846,71.0428,73.9767,77.6696,81.4084,83.4372,85.9607
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turkmenistan,TKM,0,0.133282,12.2,14.9968,17.9903,21.251,..,..,..,..,..,..
